VIN (1-10),County,City,State,Postal Code,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract,Model Year_2008,Model Year_2010,Model Year_2011,Model Year_2012,Model Year_2013,Model Year_2014,Model Year_2015,Model Year_2016,Model Year_2017,Model Year_2018,Model Year_2019,Model Year_2020,Make_BMW,Make_CADILLAC,Make_CHRYSLER,Make_FISKER,Make_KIA,Make_MINI,Make_PORSCHE,Make_SUBARU,Make_TESLA,Make_VOLVO,Make_WHEEGO ELECTRIC CARS,Model_330E,Model_530E,Model_740E,Model_918,Model_CAYENNE,Model_COUNTRYMAN,Model_CROSSTREK,Model_CT6,Model_KARMA,Model_MODEL S,Model_PACIFICA,Model_PANAMERA,Model_ROADSTER,Model_SOUL,Model_SOUL EV,Model_WHEEGO,Model_XC60,Model_XC90,Electric Vehicle Type_Battery Electric Vehicle (BEV),Electric Vehicle Type_Plug-in Hybrid Electric Vehicle (PHEV)
WBA8E1C36H,Island,Oak Harbor,WA,98277.0,Not eligible due to low battery range,14.0,44100.0,10.0,89813,POINT (-122.64682 48.29077),PUGET SOUND ENERGY INC,53029970500.0,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
KNDJX3AE9G,Island,Freeland,WA,98249.0,Clean Alternative Fuel Vehicle Eligible,93.0,31950.0,10.0,117736,POINT (-122.52664 48.00956),PUGET SOUND ENERGY INC,53029971800.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
5YJSA1H23E,Yakima,Selah,WA,98942.0,Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,15.0,126540459,POINT (-120.53145 46.65405),PACIFICORP,53077003200.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
KNDJX3AE1G,King,Vashon,WA,98070.0,Clean Alternative Fuel Vehicle Eligible,93.0,31950.0,34.0,141083463,POINT (-122.4573 47.44929),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033027701.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
5YJSA1CN2C,King,Kirkland,WA,98033.0,Clean Alternative Fuel Vehicle Eligible,265.0,59900.0,48.0,227624169,POINT (-122.2066 47.67887),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022702.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
WBAJA9C56J,King,Seattle,WA,98119.0,Not eligible due to low battery range,16.0,52650.0,36.0,327691402,POINT (-122.3684 47.64586),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033005902.0,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
YV4BR0DL1J,King,Pacific,WA,98047.0,Not eligible due to low battery range,17.0,52900.0,30.0,285131248,POINT (-122.24692 47.26465),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033030902.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
WBA8E1C37H,King,Renton,WA,98055.0,Not eligible due to low battery range,14.0,44100.0,11.0,272232831,POINT (-122.197 47.43876),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025805.0,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
WBAJB1C54K,King,Bellevue,WA,98004.0,Not eligible due to low battery range,15.0,55700.0,48.0,478079332,POINT (-122.1872 47.61001),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024002.0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
5YJSA1AC0D,King,Newcastle,WA,98059.0,Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,41.0,244891062,POINT (-122.15734 47.48718),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025005.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2C4RC1L77K,Kitsap,Bainbridge Island,WA,98110.0,Clean Alternative Fuel Vehicle Eligible,32.0,39995.0,23.0,215094316,POINT (-122.521 47.62728),PUGET SOUND ENERGY INC,53035091002.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2C4RC1N72K,King,Redmond,WA,98052.0,Clean Alternative Fuel Vehicle Eligible,32.0,39995.0,45.0,297080570,POINT (-122.13158 47.67858),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032323.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
5YJSA1DP5C,Clark,Brush Prairie,WA,98606.0,Clean Alternative Fuel Vehicle Eligible,265.0,59900.0,18.0,131758497,POINT (-122.54578 45.73473),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040505.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
KNDJP3AE9G,King,Seattle,WA,98115.0,Clean Alternative Fuel Vehicle Eligible,93.0,31950.0,46.0,132238795,POINT (-122.31676 47.68156),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002700.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
5YJSA1CP0C,King,Sammamish,WA,98074.0,Clean Alternative Fuel Vehicle Eligible,265.0,59900.0,45.0,264362836,POINT (-122.02054 47.60326),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032217.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
JF2GTDNC8K,King,Seattle,WA,98102.0,Not eligible due to low battery range,17.0,34995.0,43.0,187169482,POINT (-122.32427 47.63433),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007501.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
2C4RC1N77K,King,Seattle,WA,98125.0,Clean Alternative Fuel Vehicle Eligible,32.0,39995.0,46.0,270952174,POINT (-122.30253 47.72656),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001100.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
5YJSA1H14E,King,Seattle,WA,98119.0,Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,36.0,209896984,POINT (-122.3684 47.64586),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006900.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
KNDJP3AE1G,King,Seattle,WA,98125.0,Clean Alternative Fuel Vehicle Eligible,93.0,31950.0,46.0,142034497,POINT (-122.30253 47.72656),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001100.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
5YJSA1H16E,King,Renton,WA,98055.0,Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,11.0,243217138,POINT (-122.197 47.43876),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029308.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
5YJSA1CP9D,Clark,Vancouver,WA,98682.0,Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,17.0,132853899,POINT (-122.55149 45.69345),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040604.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
5YJRE1A32A,King,Kirkland,WA,98034.0,Clean Alternative Fuel Vehicle Eligible,245.0,110950.0,1.0,244019401,POINT (-122.22901 47.72201),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022300.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
5YJSA1H12E,Clark,Vancouver,WA,98684.0,Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,17.0,261207369,POINT (-122.48723 45.63701),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041317.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
JF2GTDNC7K,King,Seattle,WA,98119.0,Not eligible due to low battery range,17.0,34995.0,36.0,185533526,POINT (-122.3684 47.64586),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033005804.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
KNDJX3AE2H,King,Redmond,WA,98052.0,Clean Alternative Fuel Vehicle Eligible,93.0,32250.0,48.0,156633172,POINT (-122.13158 47.67858),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022902.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
LYVBR0DM3K,King,Seattle,WA,98112.0,Not eligible due to low battery range,17.0,52900.0,43.0,338369720,POINT (-122.30207 47.64085),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006400.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
5YJSA1CN1D,Clark,Camas,WA,98607.0,Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,18.0,218955516,POINT (-122.40199 45.58694),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041400.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
5YJSA1H18E,King,Bellevue,WA,98004.0,Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,48.0,112772068,POINT (-122.1872 47.61001),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024002.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
5YJSA1H12E,King,Auburn,WA,98001.0,Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,47.0,257824570,POINT (-122.23035 47.3074),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029902.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
5YJSA1DN6D,King,Covington,WA,98042.0,Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,47.0,114976620,POINT (-122.09124 47.33778),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031705.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
5YJSA1H18E,King,Bellevue,WA,98008.0,Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,48.0,243958025,POINT (-122.11867 47.63131),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023202.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
5YJSA1CG2D,King,Kirkland,WA,98033.0,Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,45.0,171124208,POINT (-122.2066 47.67887),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022402.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2C4RC1L78K,Clark,Vancouver,WA,98683.0,Clean Alternative Fuel Vehicle Eligible,32.0,39995.0,17.0,253038397,POINT (-122.49212 45.60365),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041322.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
